"","year","komnr","valgret","valgret.d","male","age","educ","ideology","party","child","age.cat","highschool","mep","age.cat.0","age.cat.1","age.cat.2","age.cat.3","age.cat.4","age.cat.5","party.1","party.2","party.3","party.4","party.5","party.6","party.7","party.8","party.9"
"1",2009,101,5,1,1,65,4,1,9,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"2",2009,101,1,0,0,47,3,5,9,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"3",2009,101,2,1,0,58,8,2,4,0,4,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"4",2009,101,NA,NA,1,63,8,1,4,0,4,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"5",2009,101,5,1,1,19,3,5,9,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"6",2009,101,1,0,0,53,6,3,9,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"7",2009,101,5,1,1,40,1,5,2,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"8",2009,101,1,0,1,67,1,5,1,0,5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"9",2009,101,3,1,1,27,4,7,6,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"10",2009,101,5,1,1,69,1,1,1,0,5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"11",2009,101,2,1,0,64,4,6,7,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"12",2009,101,2,1,0,68,4,5,1,0,5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"13",2009,101,2,1,1,24,3,4,4,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"14",2009,101,3,1,1,64,1,6,1,0,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"15",2009,101,1,0,0,28,8,7,7,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"16",2009,101,1,0,1,49,5,3,6,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"17",2009,101,5,1,1,58,4,1,1,0,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
